tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title,check,averageRating,numVotes
tt4602066,movie,The Catcher Was a Spy,The Catcher Was a Spy,0,2018,\N,98,"Biography,Drama,War",The Catcher Was a Spy,1,6.2,5582
tt4607722,movie,Blame,Blame,0,2017,\N,100,Drama,Blame,1,5.8,2060
tt4616250,movie,The Perfect Weapon,The Perfect Weapon,0,2016,\N,88,"Action,Drama,Sci-Fi",The Perfect Weapon,1,3.1,1317
tt4622512,movie,Battle of the Sexes,Battle of the Sexes,0,2017,\N,121,"Biography,Comedy,Drama",Battle of the Sexes,1,6.7,45254
tt4624258,movie,What's the Matter with Gerald?,What's the Matter with Gerald?,0,2016,\N,99,"Comedy,Drama,Fantasy",What's the Matter with Gerald?,1,5.5,1063
tt4624424,movie,Storks,Storks,0,2016,\N,87,"Adventure,Animation,Comedy",Storks,1,6.8,51814
tt4627352,movie,Shepherds and Butchers,Shepherds and Butchers,0,2016,\N,106,Drama,Shepherds and Butchers,1,6.8,2168
tt4630444,movie,Being Charlie,Being Charlie,0,2015,\N,97,"Drama,Romance",Being Charlie,1,6.3,3667
tt4631048,movie,The Texture of Falling,The Texture of Falling,0,2018,\N,75,Drama,The Texture of Falling,1,6.8,1131
tt4633662,movie,The Charnel House,The Charnel House,0,2016,\N,90,"Horror,Thriller",The Charnel House,1,4.4,1076
tt4633690,movie,Shot Caller,Shot Caller,0,2017,\N,121,"Crime,Drama,Thriller",Shot Caller,1,7.3,61877
tt4633694,movie,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,0,2018,\N,117,"Action,Adventure,Animation",Spider-Man: Into the Spider-Verse,1,8.4,273950
tt4638148,movie,Braid,Braid,0,2018,\N,82,"Horror,Mystery,Thriller",Braid,1,5.4,1669
tt4642044,movie,Riot,Riot,0,2015,\N,87,Action,Riot,1,5.1,2262
tt4645330,movie,Denial,Denial,0,2016,\N,109,"Biography,Drama",Denial,1,6.7,17199
tt4648786,movie,Harriet,Harriet,0,2019,\N,125,"Action,Biography,Drama",Harriet,1,6.3,2014
tt4649416,movie,Almost Christmas,Almost Christmas,0,2016,\N,111,"Comedy,Drama",Almost Christmas,1,6.1,5337
