tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title,check,averageRating,numVotes,budget_LCY,gross_USA_USD,cumm_worldwide_gross_USD,Released_Date,Released_Month,Rotten_Tomatoes,Metascore,Actors,Production
tt2481498,movie,"Extremely Wicked, Shockingly Evil and Vile","Extremely Wicked, Shockingly Evil and Vile",0,2019,\N,110,"Biography,Crime,Drama","Extremely Wicked, Shockingly Evil and Vile",1,6.6,57037,,,10.21,03 May 2019,5,56,52,"Lily Collins, Zac Efron, Angela Sarafyan, Sydney Vollmer",Netflix
tt2481512,movie,"Stockholm, Pennsylvania","Stockholm, Pennsylvania",0,2015,\N,99,"Drama,Thriller","Stockholm, Pennsylvania",1,6.1,1836,,,,02 May 2015,5,27,47,"Saoirse Ronan, Cynthia Nixon, Jason Isaacs, David Warshofsky",Fido Features
tt2488496,movie,Star Wars: Episode VII - The Force Awakens,Star Wars: Episode VII - The Force Awakens,0,2015,\N,138,"Action,Adventure,Sci-Fi",Star Wars: Episode VII - The Force Awakens,1,7.9,799362,$245000000,936.66,2068.22,18 Dec 2015,12,93,81,"Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver",Walt Disney Pictures
tt2494362,movie,Bone Tomahawk,Bone Tomahawk,0,2015,\N,132,"Drama,Horror,Western",Bone Tomahawk,1,7.1,74972,$1800000,,0.38,19 Feb 2016,2,91,72,"Kurt Russell, Patrick Wilson, Matthew Fox, Richard Jenkins",Image Entertainment
tt2499472,movie,Point Blank,Point Blank,0,2019,\N,86,"Action,Crime,Thriller",Point Blank,1,5.6,8885,,,,12 Jul 2019,7,41,37,"Frank Grillo, Stuart F. Wilson, Buster Reeves, Christian Cooke",Netflix
tt2503944,movie,Burnt,Burnt,0,2015,\N,101,"Comedy,Drama",Burnt,1,6.6,98617,$20000000,13.65,36.61,30 Oct 2015,10,28,42,"Bradley Cooper, Sienna Miller, Daniel Brühl, Riccardo Scamarcio",The Weinstein Company
tt2503954,movie,Broken Horses,Broken Horses,0,2015,\N,101,"Action,Crime,Drama",Broken Horses,1,5.6,1986,$15000000,,0.03,10 Apr 2015,4,25,32,"Henry Shotwell, Thomas Jane, Nicholas Neve, Sean Patrick Flanery",Vinod Chopra Films
tt2507238,movie,Me Him Her,Me Him Her,0,2015,\N,98,"Comedy,Romance",Me Him Her,1,5.4,1375,$5000000,,,11 Mar 2016,3,50,39,"Dustin Milligan, Luke Bracey, Emily Meade, Kyle Bornheimer",FilmBuff
tt2510894,movie,Hotel Transylvania 2,Hotel Transylvania 2,0,2015,\N,89,"Animation,Comedy,Family",Hotel Transylvania 2,1,6.7,96393,$80000000,169.7,474.8,25 Sep 2015,9,56,44,"Adam Sandler, Andy Samberg, Selena Gomez, Kevin James",Sony Pictures
tt2513074,movie,Billy Lynn's Long Halftime Walk,Billy Lynn's Long Halftime Walk,0,2016,\N,113,"Action,Drama,Sport",Billy Lynn's Long Halftime Walk,1,6.2,19658,$40000000,1.74,30.93,18 Nov 2016,11,44,53,"Joe Alwyn, Garrett Hedlund, Arturo Castro, Mason Lee",Sony Pictures
tt2515034,movie,The Gunman,The Gunman,0,2015,\N,115,"Action,Crime,Drama",The Gunman,1,5.8,36901,$40000000,10.66,24.18,20 Mar 2015,3,17,39,"Sean Penn, Jasmine Trinca, Javier Bardem, Ray Winstone",Open Road Films
tt2523832,movie,A Girl Like Her,A Girl Like Her,0,2015,\N,91,Drama,A Girl Like Her,1,7.0,6457,,,,27 Mar 2015,3,65,54,"Hunter King, Lexi Ainsworth, Jimmy Bennett, Amy S. Weber",Parkside Releasing
tt2527336,movie,Star Wars: Episode VIII - The Last Jedi,Star Wars: Episode VIII - The Last Jedi,0,2017,\N,152,"Action,Adventure,Fantasy",Star Wars: Episode VIII - The Last Jedi,1,7.1,481935,$317000000,620.18,1332.54,15 Dec 2017,12,91,85,"Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley",Walt Disney Pictures
tt2531334,movie,Keep Watching,Keep Watching,0,2017,\N,89,"Horror,Thriller",Keep Watching,1,4.3,3601,$5000000,0.09,0.09,31 Oct 2017,10,nan,N/A,"Bella Thorne, Chandler Riggs, Ioan Gruffudd, Natalie Martinez",Screen Gems
tt2531344,movie,Blockers,Blockers,0,2018,\N,102,Comedy,Blockers,1,6.2,60882,$21000000,60.31,94.02,06 Apr 2018,4,83,69,"Leslie Mann, John Cena, Ike Barinholtz, Kathryn Newton",Universal Pictures
tt2543164,movie,Arrival,Arrival,0,2016,\N,116,"Drama,Mystery,Sci-Fi",Arrival,1,7.9,535850,$47000000,100.55,203.39,11 Nov 2016,11,94,81,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg",21 Laps Entertainment
tt2543472,movie,Wonder,Wonder,0,2017,\N,113,"Drama,Family",Wonder,1,8.0,118415,$20000000,132.42,305.94,17 Nov 2017,11,85,66,"Jacob Tremblay, Owen Wilson, Izabela Vidovic, Julia Roberts",Lionsgate
tt2547172,movie,Larry Gaye: Renegade Male Flight Attendant,Larry Gaye: Renegade Male Flight Attendant,0,2015,\N,99,Comedy,Larry Gaye: Renegade Male Flight Attendant,1,4.5,1166,,,0.07,05 Jun 2015,6,nan,N/A,"Mark Feuerstein, Jessica Lowndes, Stanley Tucci, Christopher Fitzgerald",Orion Releasing
tt2547584,movie,The Light Between Oceans,The Light Between Oceans,0,2016,\N,133,"Drama,Romance",The Light Between Oceans,1,7.2,47780,$20000000,12.55,25.98,02 Sep 2016,9,62,60,"Michael Fassbender, Alicia Vikander, Rachel Weisz, Florence Clery",Dreamworks Pictures
tt2548208,movie,Poker Night,Poker Night,0,2014,\N,104,"Crime,Mystery,Thriller",Poker Night,1,6.3,7522,,,0.01,20 Nov 2014,11,50,35,"Beau Mirchoff, Ron Perlman, Giancarlo Esposito, Titus Welliver",Xlrator Media
tt2548396,movie,The Cloverfield Paradox,The Cloverfield Paradox,0,2018,\N,102,"Drama,Horror,Mystery",The Cloverfield Paradox,1,5.5,86668,$26000000,,,04 Feb 2018,2,19,37,"Gugu Mbatha-Raw, David Oyelowo, Daniel Brühl, John Ortiz",Netflix
tt2554274,movie,Crimson Peak,Crimson Peak,0,2015,\N,119,"Drama,Fantasy,Horror",Crimson Peak,1,6.5,121809,$55000000,31.09,74.68,16 Oct 2015,10,73,66,"Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam",Universal Pictures
tt2555736,movie,The Second Best Exotic Marigold Hotel,The Second Best Exotic Marigold Hotel,0,2015,\N,122,"Comedy,Drama",The Second Best Exotic Marigold Hotel,1,6.6,29576,$10000000,33.08,85.98,06 Mar 2015,3,65,51,"Dev Patel, Maggie Smith, Danny Mahoney, David Strathairn",20th Century Fox
tt2557276,movie,Against the Sun,Against the Sun,0,2014,\N,100,"Biography,Drama,War",Against the Sun,1,6.5,4955,,0.0,0.0,23 Jan 2015,1,70,43,"Garret Dillahunt, Tom Felton, Jake Abel, Nadia Parra",The American Film Company
tt2557478,movie,Pacific Rim: Uprising,Pacific Rim: Uprising,0,2018,\N,111,"Action,Adventure,Sci-Fi",Pacific Rim: Uprising,1,5.6,94090,$150000000,59.87,290.93,23 Mar 2018,3,44,44,"John Boyega, Scott Eastwood, Cailee Spaeny, Burn Gorman",Universal Pictures
tt2561572,movie,Get Hard,Get Hard,0,2015,\N,100,"Comedy,Crime",Get Hard,1,6.0,113580,$40000000,90.41,111.71,27 Mar 2015,3,28,34,"Will Ferrell, Kevin Hart, Craig T. Nelson, Alison Brie",Warner Bros. Pictures
tt2567026,movie,Alice Through the Looking Glass,Alice Through the Looking Glass,0,2016,\N,113,"Adventure,Family,Fantasy",Alice Through the Looking Glass,1,6.2,82991,$170000000,77.04,299.46,27 May 2016,5,29,34,"Johnny Depp, Mia Wasikowska, Helena Bonham Carter, Anne Hathaway",Walt Disney Pictures
tt2568862,movie,Going in Style,Going in Style,0,2017,\N,96,"Comedy,Crime",Going in Style,1,6.6,68961,$25000000,45.02,84.92,07 Apr 2017,4,82,50,"Michael Caine, Alan Arkin, Ann-Margret, Matt Dillon",Warner Bros. Pictures
tt2582496,movie,Me and Earl and the Dying Girl,Me and Earl and the Dying Girl,0,2015,\N,105,"Comedy,Drama,Romance",Me and Earl and the Dying Girl,1,7.7,115223,$8000000,6.76,9.07,01 Jul 2015,7,81,74,"Thomas Mann, RJ Cyler, Olivia Cooke, Nick Offerman",Fox Searchlight
